,Year,AU,CA,CN,GB,IN,JP,KR,US
3,1998,4.57668875918884,2.79654247993439,7.84595178761953,3.70777104641044,6.18441582090618,-1.1284098287731898,-5.12944816520964,4.48140756104172
4,1999,5.07359909510564,3.97048263689422,7.66165150053656,3.2952016197571097,8.84575556105509,-0.251954272065987,11.466942426742499,4.75323598286796
5,2000,3.9331369447020603,4.91776274356224,8.49009340575191,3.5062174258170002,3.84099115681285,2.77963282512113,9.060833325085339,4.12748401690885
6,2001,1.93085759225417,1.40552758872816,8.3357334781433,2.7303356512753703,4.82396626390641,0.40633590318704205,4.85239957151281,0.9983407918059871
7,2002,4.0014040616517,3.4221461713249304,9.13363078993316,2.1787443678895397,3.8039753213757996,0.11799277688933801,7.72514267547173,1.7416952513047599
8,2003,2.98593432165801,3.81109015282463,10.038030481108,3.3218817252561803,7.8603814755325905,1.52822014817859,3.1472911937340897,2.8612107683238
9,2004,4.055451967509581,3.91402878219242,10.1136213780461,2.28627817511111,7.922936612865031,2.20468788221162,5.1973913632438205,3.7988911247129904
10,2005,3.20426979287869,4.99586086930171,11.394591809728599,2.95569174321572,7.92343062149763,1.6626704052849999,4.30854271411236,3.5132137994521
11,2006,2.79453702446311,4.16581762720676,12.7209556651735,2.6938003667288797,8.06073257303272,1.4200065560430601,5.26432659466724,2.8549722936344506
12,2007,3.84423031556788,6.868608857030469,14.2308609330803,2.36057586087708,7.66081506504928,1.65418388105051,5.79954841503216,1.87617145415626
13,2008,3.65795352556486,1.0076226954575602,9.65067891955702,-0.27878016061878,3.0866980595328903,-1.09354060044625,3.0129848728116695,-0.136579803249504
14,2009,1.93699392030038,-2.92840016684549,9.39872563237978,-4.113949331037491,7.86188883303498,-5.416412796661849,0.7926989895181858,-2.53675706714202
15,2010,2.067417127684,3.08949461982786,10.635871064681199,2.0740509527512803,8.49758470158106,4.19173925854747,6.804824917836711,2.5637665603995003
16,2011,2.46275631162725,3.14688137207058,9.55083217886229,1.2757084113606,5.2413150014405,-0.11542133975741801,3.6856677821252597,1.55083550470843
17,2012,3.9181628709411203,1.7622225494588102,7.86373644866194,1.43039602864351,5.45638875293319,1.49508958593034,2.40253099246186,2.24954585238848
18,2013,2.5848977015489303,2.3291225062102003,7.7661500975390005,2.18611335241982,6.386106400923481,2.00026784118108,3.1647086364718398,1.8420810706415802
19,2014,2.5331146653882004,2.87003607545671,7.4257636564575495,2.86272867067392,7.41022760516408,0.374719476350435,3.2024537945736005,2.5259734463734103
20,2015,2.19264742646037,0.659176863558869,7.041328878654809,2.3630695106506603,7.99625378566586,1.2229210410615,2.80910326824133,3.0755146497898
21,2016,2.7706521973025002,1.00139441390405,6.848762205032459,1.7223859044477499,8.256305501781549,0.521944455486121,2.94688171508626,1.71142677366849
22,2017,2.3006106235942503,3.03988022528195,6.947200793272881,1.74030944299099,6.79538341898569,2.1682907373731797,3.1596357401277704,2.33267939548638
23,2018,2.94928577160958,2.42954754483338,6.74977383247717,1.2525906128451298,6.532989011418639,0.32320733790692197,2.9074037737713505,2.9964643522282897
24,2019,2.16095629535999,1.86141537933875,5.94971423273162,1.37081472248765,4.04155418650819,0.270308582079323,2.03934822710794,2.16117651518969
